subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
43, test, 1, vibration during choice, 40, 3, 2, 11.jpg, 10.jpg, 0.40122215, 0.447456341, 0.447456341, left, 1, 2, 3, 10.jpg, 11.jpg, 0.8105235999973956, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
43, test, 1, vibration during choice, 41, 2, 4, 10.jpg, 12.jpg, 0.458162882, 0.370374616, 0.370374616, left, 1, 4, 2, 12.jpg, 10.jpg, 1.5242361999989953, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
43, test, 1, vibration during choice, 42, 4, 3, 12.jpg, 11.jpg, 0.368787043, 0.383924023, 0.368787043, right, 2, 4, 3, 12.jpg, 11.jpg, 0.6609476000012364, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
43, test, 1, vibration during choice, 43, 2, 1, 10.jpg, 9.jpg, 0.511556199, 0.288213763, 0.511556199, right, 2, 2, 1, 10.jpg, 9.jpg, 0.7945731999934651, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
43, test, 1, vibration during choice, 44, 4, 2, 12.jpg, 10.jpg, 0.362927966, 0.530811847, 0.530811847, left, 1, 2, 4, 10.jpg, 12.jpg, 0.5149737999890931, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
43, test, 1, vibration during choice, 45, 3, 4, 11.jpg, 12.jpg, 0.336134109, 0.367033206, 0.336134109, right, 2, 3, 4, 11.jpg, 12.jpg, 0.008938699989812449, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
43, test, 1, vibration during choice, 46, 1, 2, 9.jpg, 10.jpg, 0.289973458, 0.533187647, 0.289973458, right, 2, 1, 2, 9.jpg, 10.jpg, 0.37510659999679774, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
43, test, 1, vibration during choice, 47, 2, 4, 10.jpg, 12.jpg, 0.537872242, 0.34679011, 0.537872242, right, 2, 2, 4, 10.jpg, 12.jpg, 0.36252630001399666, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
43, test, 1, vibration during choice, 48, 3, 2, 11.jpg, 10.jpg, 0.408168742, 0.523160461, 0.523160461, left, 1, 2, 3, 10.jpg, 11.jpg, 0.19894250002107583, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
43, test, 1, vibration during choice, 49, 3, 4, 11.jpg, 12.jpg, 0.394241012, 0.356189797, 0.394241012, right, 2, 3, 4, 11.jpg, 12.jpg, 0.20128490001661703, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
