subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
2, test, 1, vibration during outcome, 36, 1, 3, 9.jpg, 11.jpg, 0.211101934, 0.423948221, 0.211101934, right, 2, 1, 3, 9.jpg, 11.jpg, 0.34755269999732263, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
2, test, 1, vibration during outcome, 37, 2, 1, 10.jpg, 9.jpg, 0.456165741, 0.219326053, 0.219326053, left, 1, 1, 2, 9.jpg, 10.jpg, 0.9983391999849118, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
2, test, 1, vibration during outcome, 38, 2, 1, 10.jpg, 9.jpg, 0.433155402, 0.221341547, 0.221341547, left, 1, 1, 2, 9.jpg, 10.jpg, 0.5310631000029389, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
2, test, 1, vibration during outcome, 39, 3, 2, 11.jpg, 10.jpg, 0.408906602, 0.447660961, 0.447660961, left, 1, 2, 3, 10.jpg, 11.jpg, 1.2586071999976411, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
2, test, 1, vibration during outcome, 40, 4, 1, 12.jpg, 9.jpg, 0.401024283, 0.217505069, 0.217505069, left, 1, 1, 4, 9.jpg, 12.jpg, 1.6284733000211418, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
2, test, 1, vibration during outcome, 41, 2, 4, 10.jpg, 12.jpg, 0.458162882, 0.370374616, 0.458162882, right, 2, 2, 4, 10.jpg, 12.jpg, 0.7104925999883562, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
2, test, 1, vibration during outcome, 42, 3, 4, 11.jpg, 12.jpg, 0.383924023, 0.368787043, 0.383924023, right, 2, 3, 4, 11.jpg, 12.jpg, 0.6376464999921154, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
2, test, 1, vibration during outcome, 43, 4, 3, 12.jpg, 11.jpg, 0.38383929, 0.401205729, 0.401205729, left, 1, 3, 4, 11.jpg, 12.jpg, 0.8702094000182115, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
2, test, 1, vibration during outcome, 44, 1, 4, 9.jpg, 12.jpg, 0.294374293, 0.362927966, 0.362927966, left, 1, 4, 1, 12.jpg, 9.jpg, 1.153836199984653, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
2, test, 1, vibration during outcome, 45, 4, 3, 12.jpg, 11.jpg, 0.367033206, 0.336134109, 0.367033206, right, 2, 4, 3, 12.jpg, 11.jpg, 0.4986264999897685, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
2, test, 1, vibration during outcome, 46, 3, 4, 11.jpg, 12.jpg, 0.325220477, 0.368488345, 0.325220477, right, 2, 3, 4, 11.jpg, 12.jpg, 0.8839890999952331, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
2, test, 1, vibration during outcome, 47, 4, 2, 12.jpg, 10.jpg, 0.34679011, 0.537872242, 0.34679011, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6163454000197817, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
2, test, 1, vibration during outcome, 48, 4, 1, 12.jpg, 9.jpg, 0.356952705, 0.292135198, 0.356952705, right, 2, 4, 1, 12.jpg, 9.jpg, 0.4764128999959212, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,1
2, test, 1, vibration during outcome, 49, 3, 4, 11.jpg, 12.jpg, 0.394241012, 0.356189797, 0.394241012, right, 2, 3, 4, 11.jpg, 12.jpg, 1.3840593000059016, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,1
2, test, 1, vibration during outcome, 50, 3, 2, 11.jpg, 10.jpg, 0.386662209, 0.548355336, 0.386662209, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7117096000001766, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
2, practice, 2, vibration off, 1, 1, 4, 5.jpg, 8.jpg, 0.167787674, 0.302670058, 0.302670058, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0334000999864656, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
2, practice, 2, vibration off, 2, 3, 1, 7.jpg, 5.jpg, 0.582595424, 0.176264347, 0.582595424, right, 2, 3, 1, 7.jpg, 5.jpg, 0.9063507000100799, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
2, practice, 2, vibration off, 3, 1, 4, 5.jpg, 8.jpg, 0.206677553, 0.275426328, 0.206677553, right, 2, 1, 4, 5.jpg, 8.jpg, 1.2466604000073858, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
2, practice, 2, vibration off, 4, 2, 4, 6.jpg, 8.jpg, 0.358181966, 0.268568422, 0.268568422, left, 1, 4, 2, 8.jpg, 6.jpg, 0.5046941999753471, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
2, practice, 2, vibration off, 5, 1, 4, 5.jpg, 8.jpg, 0.21991786, 0.302042001, 0.21991786, right, 2, 1, 4, 5.jpg, 8.jpg, 0.9935284999955911, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
