subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
51, test, 1, vibration during outcome, 40, 3, 4, 7.jpg, 8.jpg, 0.40122215, 0.401024283, 0.401024283, left, 1, 4, 3, 8.jpg, 7.jpg, 0.46651090000523254, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
51, test, 1, vibration during outcome, 41, 1, 4, 5.jpg, 8.jpg, 0.249081937, 0.370374616, 0.370374616, left, 1, 4, 1, 8.jpg, 5.jpg, 0.6418462000146974, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
51, test, 1, vibration during outcome, 42, 3, 1, 7.jpg, 5.jpg, 0.383924023, 0.255981224, 0.383924023, right, 2, 3, 1, 7.jpg, 5.jpg, 1.0986673000152223, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
51, test, 1, vibration during outcome, 43, 2, 1, 6.jpg, 5.jpg, 0.511556199, 0.288213763, 0.511556199, right, 2, 2, 1, 6.jpg, 5.jpg, 0.6261916999937966, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
51, test, 1, vibration during outcome, 44, 4, 2, 8.jpg, 6.jpg, 0.362927966, 0.530811847, 0.530811847, left, 1, 2, 4, 6.jpg, 8.jpg, 0.3536108999978751, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
51, test, 1, vibration during outcome, 45, 2, 4, 6.jpg, 8.jpg, 0.512913286, 0.367033206, 0.512913286, right, 2, 2, 4, 6.jpg, 8.jpg, 0.4910385000112001, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
51, test, 1, vibration during outcome, 46, 1, 3, 5.jpg, 7.jpg, 0.289973458, 0.325220477, 0.325220477, left, 1, 3, 1, 7.jpg, 5.jpg, 1.5461369999975432, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
51, test, 1, vibration during outcome, 47, 1, 4, 5.jpg, 8.jpg, 0.29306391, 0.34679011, 0.29306391, right, 2, 1, 4, 5.jpg, 8.jpg, 1.6035942999878898, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
51, test, 1, vibration during outcome, 48, 1, 2, 5.jpg, 6.jpg, 0.292135198, 0.523160461, 0.523160461, left, 1, 2, 1, 6.jpg, 5.jpg, 0.743274400010705, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,1
51, test, 1, vibration during outcome, 49, 3, 2, 7.jpg, 6.jpg, 0.394241012, 0.527646571, 0.527646571, left, 1, 2, 3, 6.jpg, 7.jpg, 0.5929999999934807, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
51, test, 1, vibration during outcome, 50, 3, 4, 7.jpg, 8.jpg, 0.386662209, 0.348042517, 0.348042517, left, 1, 4, 3, 8.jpg, 7.jpg, 0.7901771000178996, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,1
51, practice, 2, vibration during choice, 1, 2, 3, 10.jpg, 11.jpg, 0.332201416, 0.584847675, 0.584847675, left, 1, 3, 2, 11.jpg, 10.jpg, 1.0845059999846853, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
51, practice, 2, vibration during choice, 2, 4, 2, 12.jpg, 10.jpg, 0.290755999, 0.355471562, 0.355471562, left, 1, 2, 4, 10.jpg, 12.jpg, 1.090233700000681, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
51, practice, 2, vibration during choice, 3, 4, 2, 12.jpg, 10.jpg, 0.275426328, 0.3490424, 0.275426328, right, 2, 4, 2, 12.jpg, 10.jpg, 1.176910600013798, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
51, practice, 2, vibration during choice, 4, 1, 2, 9.jpg, 10.jpg, 0.216551625, 0.358181966, 0.358181966, left, 1, 2, 1, 10.jpg, 9.jpg, 0.41593349998584017, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
51, practice, 2, vibration during choice, 5, 2, 4, 10.jpg, 12.jpg, 0.364707579, 0.302042001, 0.364707579, right, 2, 2, 4, 10.jpg, 12.jpg, 0.5462977999995928, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
51, test, 2, vibration during choice, 1, 4, 1, 12.jpg, 9.jpg, 0.302670058, 0.167787674, 0.302670058, right, 2, 4, 1, 12.jpg, 9.jpg, 1.034926299995277, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
51, test, 2, vibration during choice, 2, 4, 2, 12.jpg, 10.jpg, 0.290755999, 0.355471562, 0.290755999, right, 2, 4, 2, 12.jpg, 10.jpg, 0.9437770000076853, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
51, test, 2, vibration during choice, 3, 3, 1, 11.jpg, 9.jpg, 0.578794293, 0.206677553, 0.206677553, left, 1, 1, 3, 9.jpg, 11.jpg, 1.3082680000225082, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
51, test, 2, vibration during choice, 4, 1, 2, 9.jpg, 10.jpg, 0.216551625, 0.358181966, 0.216551625, right, 2, 1, 2, 9.jpg, 10.jpg, 0.5785105999966618, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
51, test, 2, vibration during choice, 5, 3, 4, 11.jpg, 12.jpg, 0.582527891, 0.302042001, 0.582527891, right, 2, 3, 4, 11.jpg, 12.jpg, 1.6662723000044934, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
