subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
62, practice,2, vibration off,3,3,4, 11.jpg, 12.jpg,0.578794293,0.275426328,0.578794293, right,2,3,4, 11.jpg, 12.jpg,0.286794,2,0.206677553,0.3490424,0.578794293,0.275426328,1
62, practice,2, vibration off,4,2,3, 10.jpg, 11.jpg,0.358181966,0.569745321,0.569745321, left,1,3,2, 11.jpg, 10.jpg,0.3231422,2,0.216551625,0.358181966,0.569745321,0.268568422,1
62, practice,2, vibration off,5,4,1, 12.jpg, 9.jpg,0.302042001,0.21991786,0.21991786, left,1,1,4, 9.jpg, 12.jpg,1.6635868,2,0.21991786,0.364707579,0.582527891,0.302042001,0
62, test,2, vibration off,1,2,1, 10.jpg, 9.jpg,0.332201416,0.167787674,0.332201416, right,2,2,1, 10.jpg, 9.jpg,0.4080074,2,0.167787674,0.332201416,0.584847675,0.302670058,0
62, test,2, vibration off,2,4,1, 12.jpg, 9.jpg,0.290755999,0.176264347,0.290755999, right,2,4,1, 12.jpg, 9.jpg,0.4752865,2,0.176264347,0.355471562,0.582595424,0.290755999,1
62, test,2, vibration off,3,3,2, 11.jpg, 10.jpg,0.578794293,0.3490424,0.578794293, right,2,3,2, 11.jpg, 10.jpg,0.4728021,2,0.206677553,0.3490424,0.578794293,0.275426328,1
62, test,2, vibration off,4,4,3, 12.jpg, 11.jpg,0.268568422,0.569745321,0.268568422, right,2,4,3, 12.jpg, 11.jpg,0.4828261,2,0.216551625,0.358181966,0.569745321,0.268568422,0
62, test,2, vibration off,5,4,2, 12.jpg, 10.jpg,0.302042001,0.364707579,0.302042001, right,2,4,2, 12.jpg, 10.jpg,0.5588044,2,0.21991786,0.364707579,0.582527891,0.302042001,1
62, test,2, vibration off,6,3,4, 11.jpg, 12.jpg,0.587455063,0.336540119,0.587455063, right,2,3,4, 11.jpg, 12.jpg,1.2554998,2,0.209090036,0.3895513,0.587455063,0.336540119,0
62, test,2, vibration off,7,2,4, 10.jpg, 12.jpg,0.39060737,0.363378709,0.39060737, right,2,2,4, 10.jpg, 12.jpg,0.6191794,2,0.215508938,0.39060737,0.582464681,0.363378709,1
62, test,2, vibration off,8,4,1, 12.jpg, 9.jpg,0.369794555,0.219868403,0.369794555, right,2,4,1, 12.jpg, 9.jpg,0.8644929,2,0.219868403,0.430440014,0.545053358,0.369794555,1
62, test,2, vibration off,9,4,1, 12.jpg, 9.jpg,0.365747455,0.223820368,0.365747455, right,2,4,1, 12.jpg, 9.jpg,0.5584084,2,0.223820368,0.4539861,0.530883085,0.365747455,1
62, test,2, vibration off,10,4,2, 12.jpg, 10.jpg,0.36426522,0.485995524,0.485995524, left,1,2,4, 10.jpg, 12.jpg,0.3991107,2,0.25320591,0.485995524,0.507816291,0.36426522,1
62, test,2, vibration off,11,4,2, 12.jpg, 10.jpg,0.378430477,0.489357893,0.489357893, left,1,2,4, 10.jpg, 12.jpg,0.5775634,2,0.272116099,0.489357893,0.494989907,0.378430477,1
62, test,2, vibration off,12,4,3, 12.jpg, 11.jpg,0.406276663,0.446302549,0.406276663, right,2,4,3, 12.jpg, 11.jpg,0.6848667,2,0.234286576,0.484630844,0.446302549,0.406276663,0
62, test,2, vibration off,13,2,3, 10.jpg, 11.jpg,0.493007884,0.441292304,0.441292304, left,1,3,2, 11.jpg, 10.jpg,1.95E-05,2,0.209829698,0.493007884,0.441292304,0.408056555,1
62, test,2, vibration off,14,2,1, 10.jpg, 9.jpg,0.496165246,0.194746258,0.194746258, left,1,1,2, 9.jpg, 10.jpg,1.6122933,2,0.194746258,0.496165246,0.424090899,0.411853134,0
62, test,2, vibration off,15,4,1, 12.jpg, 9.jpg,0.425420016,0.254919143,0.425420016, right,2,4,1, 12.jpg, 9.jpg,0.8429315,2,0.254919143,0.498060855,0.410741903,0.425420016,1
62, test,2, vibration off,16,3,1, 11.jpg, 9.jpg,0.384469806,0.268446939,0.384469806, right,2,3,1, 11.jpg, 9.jpg,0.9912117,2,0.268446939,0.473753497,0.384469806,0.434571537,1
62, test,2, vibration off,17,2,4, 10.jpg, 12.jpg,0.427927548,0.467037886,0.427927548, right,2,2,4, 10.jpg, 12.jpg,1.4909287,2,0.260713561,0.427927548,0.397409959,0.467037886,0
62, test,2, vibration off,18,1,4, 9.jpg, 12.jpg,0.273570125,0.458160423,0.273570125, right,2,1,4, 9.jpg, 12.jpg,1.5918502,2,0.273570125,0.42862063,0.380302803,0.458160423,0
62, test,2, vibration off,19,1,4, 9.jpg, 12.jpg,0.269452755,0.413401572,0.269452755, right,2,1,4, 9.jpg, 12.jpg,0.4784237,2,0.269452755,0.435371131,0.39026973,0.413401572,0
62, test,2, vibration off,20,2,1, 10.jpg, 9.jpg,0.425551488,0.268741649,0.425551488, right,2,2,1, 10.jpg, 9.jpg,0.4305118,2,0.268741649,0.425551488,0.408454439,0.410963982,1
62, test,2, vibration off,21,4,3, 12.jpg, 11.jpg,0.423231262,0.404768464,0.423231262, right,2,4,3, 12.jpg, 11.jpg,0.6077576,2,0.289598518,0.44190032,0.404768464,0.423231262,0
62, test,2, vibration off,22,1,2, 9.jpg, 10.jpg,0.299460569,0.419525056,0.299460569, right,2,1,2, 9.jpg, 10.jpg,1.0538411,2,0.299460569,0.419525056,0.422610309,0.389718337,0
62, test,2, vibration off,23,4,3, 12.jpg, 11.jpg,0.39059245,0.408863932,0.39059245, right,2,4,3, 12.jpg, 11.jpg,1.9703587,2,0.275422902,0.397611772,0.408863932,0.39059245,1
62, test,2, vibration off,24,4,2, 12.jpg, 10.jpg,0.398445672,0.379139537,0.379139537, left,1,2,4, 10.jpg, 12.jpg,0.4072426,2,0.266650787,0.379139537,0.405854252,0.398445672,1
62, test,2, vibration off,25,2,1, 10.jpg, 9.jpg,0.383103254,0.254259812,0.254259812, left,1,1,2, 9.jpg, 10.jpg,0.4478894,2,0.254259812,0.383103254,0.425425396,0.3844496,0
62, test,2, vibration off,26,3,2, 11.jpg, 10.jpg,0.44409494,0.426705428,0.426705428, left,1,2,3, 10.jpg, 11.jpg,0.6199654,2,0.251503025,0.426705428,0.44409494,0.389570929,0
62, test,2, vibration off,27,3,4, 11.jpg, 12.jpg,0.476699219,0.351861927,0.351861927, left,1,4,3, 12.jpg, 11.jpg,0.9824666,2,0.260664603,0.434578853,0.476699219,0.351861927,1
62, test,2, vibration off,28,2,1, 10.jpg, 9.jpg,0.456535155,0.254900351,0.254900351, left,1,1,2, 9.jpg, 10.jpg,0.9918935,2,0.254900351,0.456535155,0.471375184,0.358204472,0
62, test,2, vibration off,29,4,3, 12.jpg, 11.jpg,0.360838495,0.45401501,0.45401501, left,1,3,4, 11.jpg, 12.jpg,0.4914614,2,0.270226286,0.431125609,0.45401501,0.360838495,0
62, test,2, vibration off,30,2,4, 10.jpg, 12.jpg,0.434793002,0.36725969,0.434793002, right,2,2,4, 10.jpg, 12.jpg,0.5663243,2,0.231605059,0.434793002,0.441888062,0.36725969,0
62, test,2, vibration off,31,2,1, 10.jpg, 9.jpg,0.473135831,0.233739069,0.233739069, left,1,1,2, 9.jpg, 10.jpg,0.5109566,2,0.233739069,0.473135831,0.456731037,0.401609609,0
62, test,2, vibration off,32,3,2, 11.jpg, 10.jpg,0.406064085,0.452508743,0.452508743, left,1,2,3, 10.jpg, 11.jpg,0.6190439,2,0.24432205,0.452508743,0.406064085,0.393803515,1
62, test,2, vibration off,33,4,3, 12.jpg, 11.jpg,0.402704902,0.401876712,0.401876712, left,1,3,4, 11.jpg, 12.jpg,0.4563712,2,0.193554899,0.458621481,0.401876712,0.402704902,1
62, test,2, vibration off,34,1,4, 9.jpg, 12.jpg,0.204964705,0.416668377,0.416668377, left,1,4,1, 12.jpg, 9.jpg,0.4940511,2,0.204964705,0.43001655,0.409321444,0.416668377,0
62, test,2, vibration off,35,2,1, 10.jpg, 9.jpg,0.429045935,0.22048214,0.22048214, left,1,1,2, 9.jpg, 10.jpg,0.3009311,2,0.22048214,0.429045935,0.424862287,0.419699964,0
62, test,2, vibration off,36,1,2, 9.jpg, 10.jpg,0.211101934,0.447650766,0.211101934, right,2,1,2, 9.jpg, 10.jpg,0.8659508,2,0.211101934,0.447650766,0.423948221,0.428911523,0
62, test,2, vibration off,37,4,2, 12.jpg, 10.jpg,0.39910528,0.456165741,0.39910528, right,2,4,2, 12.jpg, 10.jpg,0.6075777,2,0.219326053,0.456165741,0.43257228,0.39910528,0
62, test,2, vibration off,38,3,4, 11.jpg, 12.jpg,0.4363313,0.390289699,0.390289699, left,1,4,3, 12.jpg, 11.jpg,0.5413309,2,0.221341547,0.433155402,0.4363313,0.390289699,0
62, test,2, vibration off,39,4,2, 12.jpg, 10.jpg,0.411267062,0.447660961,0.447660961, left,1,2,4, 10.jpg, 12.jpg,0.9988963,2,0.214118114,0.447660961,0.408906602,0.411267062,1
62, test,2, vibration off,40,2,4, 10.jpg, 12.jpg,0.447456341,0.401024283,0.401024283, left,1,4,2, 12.jpg, 10.jpg,0.657227,2,0.217505069,0.447456341,0.40122215,0.401024283,1
62, test,2, vibration off,41,3,4, 11.jpg, 12.jpg,0.382054645,0.370374616,0.370374616, left,1,4,3, 12.jpg, 11.jpg,0.350961,2,0.249081937,0.458162882,0.382054645,0.370374616,0
62, test,2, vibration off,42,2,3, 10.jpg, 11.jpg,0.480978505,0.383924023,0.383924023, left,1,3,2, 11.jpg, 10.jpg,0.4038744,2,0.255981224,0.480978505,0.383924023,0.368787043,1
62, test,2, vibration off,43,1,3, 9.jpg, 11.jpg,0.288213763,0.401205729,0.401205729, left,1,3,1, 11.jpg, 9.jpg,0.4389979,2,0.288213763,0.511556199,0.401205729,0.38383929,0
62, test,2, vibration off,44,3,4, 11.jpg, 12.jpg,0.350203513,0.362927966,0.362927966, left,1,4,3, 12.jpg, 11.jpg,0.5593795,2,0.294374293,0.530811847,0.350203513,0.362927966,1
62, test,2, vibration off,45,4,1, 12.jpg, 9.jpg,0.367033206,0.308994906,0.308994906, left,1,1,4, 9.jpg, 12.jpg,0.6021851,2,0.308994906,0.512913286,0.336134109,0.367033206,0
62, test,2, vibration off,46,1,4, 9.jpg, 12.jpg,0.289973458,0.368488345,0.368488345, left,1,4,1, 12.jpg, 9.jpg,0.4538026,2,0.289973458,0.533187647,0.325220477,0.368488345,0
62, test,2, vibration off,47,3,1, 11.jpg, 9.jpg,0.357892701,0.29306391,0.29306391, left,1,1,3, 9.jpg, 11.jpg,0.5417981,2,0.29306391,0.537872242,0.357892701,0.34679011,0
62, test,2, vibration off,48,2,3, 10.jpg, 11.jpg,0.523160461,0.408168742,0.408168742, left,1,3,2, 11.jpg, 10.jpg,0.9020547,2,0.292135198,0.523160461,0.408168742,0.356952705,0
62, test,2, vibration off,49,4,1, 12.jpg, 9.jpg,0.356189797,0.293886334,0.293886334, left,1,1,4, 9.jpg, 12.jpg,0.365343,2,0.293886334,0.527646571,0.394241012,0.356189797,0
62, test,2, vibration off,50,3,4, 11.jpg, 12.jpg,0.386662209,0.348042517,0.348042517, left,1,4,3, 12.jpg, 11.jpg,0.5770835,2,0.304272396,0.548355336,0.386662209,0.348042517,0
